id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Highway,Voltline,rock,moody,0.84,143,0.42,0.71,0.08
12,Rainy Window,Paper Lanterns,ambient,chill,0.22,55,0.58,0.38,0.95
13,Late Night Diner,Slow Stereo,jazz,relaxed,0.41,88,0.74,0.51,0.83
14,Neon Pulse,Max Pulse,synthwave,intense,0.88,128,0.53,0.85,0.04
15,Golden Hour,Indigo Parade,indie pop,happy,0.69,116,0.88,0.77,0.42
16,Still Waters,Orbit Bloom,ambient,focused,0.19,50,0.62,0.33,0.97
17,Bounce Theory,Neon Echo,pop,happy,0.86,126,0.91,0.90,0.07
18,Deep Study,LoRoom,lofi,focused,0.38,76,0.55,0.57,0.80
19,Velvet Underground,Slow Stereo,jazz,moody,0.45,95,0.38,0.49,0.76
20,Iron Circuit,Voltline,rock,intense,0.95,158,0.44,0.69,0.06
